id,rarity rank,background,gender,skin,tattoos,hat,hair,hairColor,clothes,bling,mouth,glass,facial
1,183,Pine,Female,Zombie,None,Sweatband,Hat,Blue,White Tee,None,Hydration Pack,Reading Glasses,None
2,3148,Green,Male,Shade 3,None,None,Shaggy,Black,Collard Tee,Silver Cuban,None,Eyepatch,None
3,3386,Yellow,Male,Shade 2,None,None,Dreads,Red,Striped Tee,Silver Cuban,None,None,Handlebars
4,3882,Pink,Female,Shade 3,None,None,Mohawk,Platinum,Button up,None,Cigarette,None,None
5,352,Orange,Male,Shade 5,None,Trucker Hat,Hat,Platinum,Leather Jacket,Pearl Necklace,Quellazaire,Designer Shades,Chinstrap
6,1728,Pine,Female,Shade 3,None,None,Shoulder Length,Red,Camo Tee,Silver Cuban,Snake Bites,Steampunk Shades,None
7,3022,Light Purple,Female,Shade 6,None,None,Spikey,Platinum,Turtleneck,None,Vape,Eyepatch,None
8,2980,Sand,Male,Shade 5,None,None,Mullet,Brown,Button up,Gold Cuban,Blunt,None,Full Goat
9,2856,Sand,Male,Shade 2,None,None,Bowl Cut,Red,Shirtless,None,Cigarette,Steampunk Shades,Handlebars
10,4154,Sand,Male,Shade 2,None,None,Bowl Cut,Blonde,Zip Up Hoodie,None,None,None,5 o'clock
11,3909,Pink,Male,Shade 6,None,None,Bowl Cut,Brown,Rags,None,Vape,None,None
12,1264,Light Purple,Female,Shade 1,None,Cowboy Hat,Hat,Red,Ripped Up Tee,Black Choker,None,Sunglasses,None
13,1446,Blue,Male,Shade 3,None,Trucker Hat,Hat,Black,Collard Tee,None,Surgical Mask,Designer Shades,Quarter Goat
14,3805,Pink,Male,Shade 1,None,None,Buzzed Braids,Red,Hoodie,None,Vape,None,5 o'clock
15,563,Green,Male,Shade 3,None,Horns,Hat,Brown,Striped Tee,Pearl Necklace,Vape,Reading Glasses,Pencil Jaw
16,286,Lavender,Female,Shade 5,None,Horns,Hat,Blue,Striped Tee,Pearl Necklace,Surgical Mask,Eyepatch,None
17,3615,Yellow,Male,Shade 7,None,None,Crew Cut,Blonde,Button up,Gold Cuban,Pipe,None,None
18,3645,Turquoise,Male,Shade 7,None,None,Mullet,Brown,Hoodie,Silver Cuban,None,None,Quarter Goat
19,1529,Mauve,Female,Shade 6,None,None,Buzzed Braids,Blonde,Collard Tee,Pink Choker,Snake Bites,Reading Glasses,None
20,2906,Sand,Female,Shade 2,None,None,Spikey,Platinum,Hoodie,Pearl Necklace,Vape,None,None
21,3339,Lavender,Male,Shade 4,None,None,Shaggy,Blonde,White Tee,None,Blunt,Reading Glasses,5 o'clock
22,4827,Blue,Male,Shade 1,None,None,Mullet,Brown,Hoodie,None,None,None,None
23,3780,Turquoise,Female,Shade 3,None,None,Buzzed Braids,Black,Hoodie,None,None,Steampunk Shades,None
24,1949,Pink,Female,Shade 7,None,None,Spikey,Black,Collard Tee,Gold Cuban,Cigarette,Silver Piercings,None
25,667,Pine,Male,Shade 3,None,Trucker Hat,Hat,Red,Dirty Tee,Gold Cuban,Septum Piercing,Silver Piercings,Full Goat
26,1306,Pink,Male,Shade 1,None,None,Spikey,Red,Cut Off Sleeves,Black Choker,Septum Piercing,Sunglasses,Pencil Jaw
27,1359,Mauve,Male,Shade 4,None,None,Spikey,Blonde,Cut Off Sleeves,Pearl Necklace,Pipe,Silver Piercings,5 o'clock
28,4685,Sand,Male,Shade 3,None,None,Mullet,Platinum,Hoodie,None,None,None,None
29,1885,Pink,Female,Shade 6,None,Sweatband,Hat,Brown,Turtleneck,None,Quellazaire,Future Shades,None
30,2838,Lavender,Male,Shade 4,None,None,Shaggy,Brown,Hoodie,Gold Cuban,None,Reading Glasses,Half Goat
